name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,42,5,pretimed_signal,30,0.932056,1.242742,"<Point><coordinates>0.932056,1.242742</coordinates></Point>"
,43,5,pretimed_signal,30,1.180605,1.242742,"<Point><coordinates>1.180605,1.242742</coordinates></Point>"
,44,5,pretimed_signal,30,1.242742,1.242742,"<Point><coordinates>1.242742,1.242742</coordinates></Point>"
,45,1,no_control,0,1.367016,1.242742,"<Point><coordinates>1.367016,1.242742</coordinates></Point>"
,46,5,pretimed_signal,0,0.248548,0.994194,"<Point><coordinates>0.248548,0.994194</coordinates></Point>"
,47,5,pretimed_signal,30,0.621371,1.429153,"<Point><coordinates>0.621371,1.429153</coordinates></Point>"
,48,5,pretimed_signal,30,0.683508,1.553428,"<Point><coordinates>0.683508,1.553428</coordinates></Point>"
,49,5,pretimed_signal,30,0.932056,1.553428,"<Point><coordinates>0.932056,1.553428</coordinates></Point>"
,50,5,pretimed_signal,30,1.180605,1.553428,"<Point><coordinates>1.180605,1.553428</coordinates></Point>"
,51,5,pretimed_signal,30,1.242742,1.553428,"<Point><coordinates>1.242742,1.553428</coordinates></Point>"
,52,5,pretimed_signal,30,0.838851,1.864113,"<Point><coordinates>0.838851,1.864113</coordinates></Point>"
,53,5,pretimed_signal,30,0.932056,1.864113,"<Point><coordinates>0.932056,1.864113</coordinates></Point>"
,54,5,pretimed_signal,30,1.180605,1.864113,"<Point><coordinates>1.180605,1.864113</coordinates></Point>"
,55,5,pretimed_signal,30,1.242742,1.864113,"<Point><coordinates>1.242742,1.864113</coordinates></Point>"
,56,1,no_control,0,1.367016,1.864113,"<Point><coordinates>1.367016,1.864113</coordinates></Point>"
,58,5,pretimed_signal,30,1.149536,2.485484,"<Point><coordinates>1.149536,2.485484</coordinates></Point>"
,59,5,pretimed_signal,30,1.200000,2.485484,"<Point><coordinates>1.200000,2.485484</coordinates></Point>"
,60,5,pretimed_signal,30,1.149536,2.981855,"<Point><coordinates>1.149536,2.981855</coordinates></Point>"
,61,1,no_control,0,1.149536,3.106855,"<Point><coordinates>1.149536,3.106855</coordinates></Point>"
,62,5,pretimed_signal,30,1.149536,3.231855,"<Point><coordinates>1.149536,3.231855</coordinates></Point>"
,63,1,no_control,0,1.212036,3.044355,"<Point><coordinates>1.212036,3.044355</coordinates></Point>"
,64,1,no_control,0,1.212036,3.169355,"<Point><coordinates>1.212036,3.169355</coordinates></Point>"
,65,1,no_control,0,1.274536,3.106855,"<Point><coordinates>1.274536,3.106855</coordinates></Point>"
,66,1,no_control,0,1.211673,0.097089,"<Point><coordinates>1.211673,0.097089</coordinates></Point>"
,67,1,no_control,0,1.211673,0.524281,"<Point><coordinates>1.211673,0.524281</coordinates></Point>"
,68,1,no_control,0,1.211673,0.718460,"<Point><coordinates>1.211673,0.718460</coordinates></Point>"
,69,1,no_control,0,1.211673,1.145653,"<Point><coordinates>1.211673,1.145653</coordinates></Point>"
,70,1,no_control,0,1.211673,1.339832,"<Point><coordinates>1.211673,1.339832</coordinates></Point>"
,71,1,no_control,0,1.211673,1.767024,"<Point><coordinates>1.211673,1.767024</coordinates></Point>"
,72,1,no_control,0,1.211673,1.961203,"<Point><coordinates>1.211673,1.961203</coordinates></Point>"
,73,1,no_control,0,1.534712,3.106855,"<Point><coordinates>1.534712,3.106855</coordinates></Point>"
,74,1,no_control,0,1.728890,3.106855,"<Point><coordinates>1.728890,3.106855</coordinates></Point>"
,75,1,no_control,0,1.631801,3.009766,"<Point><coordinates>1.631801,3.009766</coordinates></Point>"
,76,1,no_control,0,1.631801,3.203944,"<Point><coordinates>1.631801,3.203944</coordinates></Point>"
,57,1,no_control,0,1.800000,3.106855,"<Point><coordinates>1.800000,3.106855</coordinates></Point>"
,77,1,no_control,0,1.631801,3.300000,"<Point><coordinates>1.631801,3.300000</coordinates></Point>"
,78,1,no_control,0,1.149536,3.300000,"<Point><coordinates>1.149536,3.300000</coordinates></Point>"
,79,1,no_control,0,1.114584,0.621371,"<Point><coordinates>1.114584,0.621371</coordinates></Point>"
,80,1,no_control,0,0.718460,0.621371,"<Point><coordinates>0.718460,0.621371</coordinates></Point>"
,81,1,no_control,0,0.552719,0.690023,"<Point><coordinates>0.552719,0.690023</coordinates></Point>"
,82,1,no_control,0,-1.002916,2.245658,"<Point><coordinates>-1.002916,2.245658</coordinates></Point>"
,83,1,no_control,0,0.489352,3.106855,"<Point><coordinates>0.489352,3.106855</coordinates></Point>"
,84,1,no_control,0,0.118165,2.943059,"<Point><coordinates>0.118165,2.943059</coordinates></Point>"
,85,1,no_control,0,0.004936,2.862181,"<Point><coordinates>0.004936,2.862181</coordinates></Point>"
,86,1,no_control,0,-0.027415,2.996978,"<Point><coordinates>-0.027415,2.996978</coordinates></Point>"
,87,5,pretimed_signal,30,-0.415629,2.527886,"<Point><coordinates>-0.415629,2.527886</coordinates></Point>"
,88,5,pretimed_signal,30,-0.237698,2.371522,"<Point><coordinates>-0.237698,2.371522</coordinates></Point>"
,89,1,no_control,0,-1.235192,2.312212,"<Point><coordinates>-1.235192,2.312212</coordinates></Point>"
,90,1,no_control,0,-1.155003,2.212318,"<Point><coordinates>-1.155003,2.212318</coordinates></Point>"
,91,1,no_control,0,-1.081300,2.371062,"<Point><coordinates>-1.081300,2.371062</coordinates></Point>"
,92,1,no_control,0,-1.446034,2.335156,"<Point><coordinates>-1.446034,2.335156</coordinates></Point>"
,93,5,pretimed_signal,30,-1.149333,2.083810,"<Point><coordinates>-1.149333,2.083810</coordinates></Point>"
,94,5,pretimed_signal,30,-1.145554,1.993099,"<Point><coordinates>-1.145554,1.993099</coordinates></Point>"
,95,1,no_control,0,-1.427136,2.081921,"<Point><coordinates>-1.427136,2.081921</coordinates></Point>"
,96,1,no_control,0,-0.862082,2.715008,"<Point><coordinates>-0.862082,2.715008</coordinates></Point>"
,97,5,pretimed_signal,30,-0.856412,2.801940,"<Point><coordinates>-0.856412,2.801940</coordinates></Point>"
,98,5,pretimed_signal,30,-0.784599,2.767923,"<Point><coordinates>-0.784599,2.767923</coordinates></Point>"
,99,1,no_control,0,-0.784599,2.875642,"<Point><coordinates>-0.784599,2.875642</coordinates></Point>"
,100,1,no_control,0,-0.996258,2.841626,"<Point><coordinates>-0.996258,2.841626</coordinates></Point>"
,101,1,no_control,0,-0.710897,3.143996,"<Point><coordinates>-0.710897,3.143996</coordinates></Point>"
,102,1,no_control,0,-0.582389,3.287622,"<Point><coordinates>-0.582389,3.287622</coordinates></Point>"
,103,1,no_control,0,-0.724125,3.385892,"<Point><coordinates>-0.724125,3.385892</coordinates></Point>"
,104,1,no_control,0,-0.786489,3.555975,"<Point><coordinates>-0.786489,3.555975</coordinates></Point>"
