name,link_id,from_node_id,to_node_id,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,link_type_name,jam_density,wave_speed,demand_type_code,count_sensor_id,speed_sensor_id,geometry
Shore Drive,17,10,11,1,0.06214,3,45,1000,3,Principal arterial,180,12,1,17,17,"<LineString><coordinates>1.180605,-0.002841,0.0 1.242742,-0.002841,0.0</coordinates></LineString>"
Shore Drive,18,11,10,1,0.06214,3,45,1000,3,Principal arterial,180,12,1,18,18,"<LineString><coordinates>1.242742,0.002841,0.0 1.180605,0.002841,0.0</coordinates></LineString>"
Shore Freeway,19,11,12,1,0.06602,3,60,1900,1,Freeway,180,12,1,19,19,"<LineString><coordinates>1.242742,-0.002841,0.0 1.308763,-0.002841,0.0</coordinates></LineString>"
Shore Freeway,20,12,11,1,0.06602,3,60,1900,1,Freeway,180,12,1,20,20,"<LineString><coordinates>1.308763,0.002841,0.0 1.242742,0.002841,0.0</coordinates></LineString>"
0 Street,21,2,3,1,0.06163,2,20,1000,4,Major arterial,180,12,1,21,21,"<LineString><coordinates>0.621371,-0.002841,0.0 0.683000,-0.002841,0.0</coordinates></LineString>"
0 Street,22,3,2,1,0.06163,2,20,1000,4,Major arterial,180,12,1,22,22,"<LineString><coordinates>0.683000,0.002841,0.0 0.621371,0.002841,0.0</coordinates></LineString>"
0 Street,23,3,5,1,0.06888,2,20,1000,4,Major arterial,180,12,1,23,23,"<LineString><coordinates>0.683000,0.000000,0.0 0.745000,-0.030000,0.0</coordinates></LineString>"
0 Street,24,5,7,1,0.065,2,20,1000,4,Major arterial,180,12,1,24,24,"<LineString><coordinates>0.745000,-0.030000,0.0 0.810000,-0.030000,0.0</coordinates></LineString>"
0 Street,25,6,3,1,0.127,2,20,1000,4,Major arterial,180,12,1,25,25,"<LineString><coordinates>0.810000,0.000000,0.0 0.683000,0.000000,0.0</coordinates></LineString>"
Shore Freeway,26,12,16,1,0.05825,6,65,1900,1,Freeway,180,12,1,26,26,"<LineString><coordinates>1.308763,-0.002841,0.0 1.367016,-0.002841,0.0</coordinates></LineString>"
Shore Freeway,27,16,12,1,0.05825,6,65,1900,1,Freeway,180,12,1,27,27,"<LineString><coordinates>1.367016,0.002841,0.0 1.308763,0.002841,0.0</coordinates></LineString>"
5 Street,28,22,23,1,0.06214,2,30,1000,5,Minor arterial,180,12,1,28,28,"<LineString><coordinates>1.180605,0.307845,0.0 1.242742,0.307845,0.0</coordinates></LineString>"
5 Street,29,23,22,1,0.06214,2,30,1000,5,Minor arterial,180,12,1,29,29,"<LineString><coordinates>1.242742,0.313526,0.0 1.180605,0.313526,0.0</coordinates></LineString>"
10 Street,30,28,29,1,0.06214,3,10,1000,3,Principal arterial,180,12,1,30,30,"<LineString><coordinates>1.180605,0.618530,0.0 1.242742,0.618530,0.0</coordinates></LineString>"
10 Street,31,29,28,1,0.06214,3,10,1000,3,Principal arterial,180,12,1,31,31,"<LineString><coordinates>1.242742,0.624212,0.0 1.180605,0.624212,0.0</coordinates></LineString>"
10 Street,32,29,30,1,0.06602,3,10,1000,3,Principal arterial,180,12,1,32,32,"<LineString><coordinates>1.242742,0.618530,0.0 1.308763,0.618530,0.0</coordinates></LineString>"
10 Street,33,30,29,1,0.06602,3,10,1000,3,Principal arterial,180,12,1,33,33,"<LineString><coordinates>1.308763,0.624212,0.0 1.242742,0.624212,0.0</coordinates></LineString>"
10 Street,34,30,31,1,0.05825,3,10,1000,3,Principal arterial,180,12,1,34,34,"<LineString><coordinates>1.308763,0.618530,0.0 1.367016,0.618530,0.0</coordinates></LineString>"
10 Street,35,31,30,1,0.05825,3,10,1000,3,Principal arterial,180,12,1,35,35,"<LineString><coordinates>1.367016,0.624212,0.0 1.308763,0.624212,0.0</coordinates></LineString>"
20 Street,36,43,44,1,0.06214,2,20,1000,4,Major arterial,180,12,1,36,36,"<LineString><coordinates>1.180605,1.239901,0.0 1.242742,1.239901,0.0</coordinates></LineString>"
20 Street,37,44,43,1,0.06214,2,20,1000,4,Major arterial,180,12,1,37,37,"<LineString><coordinates>1.242742,1.245583,0.0 1.180605,1.245583,0.0</coordinates></LineString>"
20 Street,38,44,45,1,0.12427,2,20,1000,4,Major arterial,180,12,1,38,38,"<LineString><coordinates>1.242742,1.239901,0.0 1.367016,1.239901,0.0</coordinates></LineString>"
20 Street,39,45,44,1,0.12427,2,20,1000,4,Major arterial,180,12,1,39,39,"<LineString><coordinates>1.367016,1.245583,0.0 1.242742,1.245583,0.0</coordinates></LineString>"
15 Street,40,39,38,1,0.06214,2,30,1000,5,Minor arterial,180,12,1,40,40,"<LineString><coordinates>1.242742,0.934897,0.0 1.180605,0.934897,0.0</coordinates></LineString>"
30 Street,41,54,55,1,0.06214,2,30,1000,3,Principal arterial,180,12,1,41,41,"<LineString><coordinates>1.180605,1.861272,0.0 1.242742,1.861272,0.0</coordinates></LineString>"
30 Street,42,55,54,1,0.06214,2,30,1000,3,Principal arterial,180,12,1,42,42,"<LineString><coordinates>1.242742,1.866954,0.0 1.180605,1.866954,0.0</coordinates></LineString>"
30 Street,43,55,56,1,0.13204,2,30,1000,3,Principal arterial,180,12,1,43,43,"<LineString><coordinates>1.242742,1.861272,0.0 1.367016,1.861272,0.0</coordinates></LineString>"
30 Street,44,56,55,1,0.13204,2,30,1000,3,Principal arterial,180,12,1,44,44,"<LineString><coordinates>1.367016,1.866954,0.0 1.242742,1.866954,0.0</coordinates></LineString>"
15 Street,45,38,39,1,0.06214,2,30,1000,5,Minor arterial,180,12,1,45,45,"<LineString><coordinates>1.180605,0.929215,0.0 1.242742,0.929215,0.0</coordinates></LineString>"
River Drive,46,58,60,1,0.49637,3,40,1000,3,Principal arterial,180,12,1,46,46,"<LineString><coordinates>1.152377,2.485484,0.0 1.152377,2.981855,0.0</coordinates></LineString>"
River Drive,47,60,58,1,0.49637,3,40,1000,3,Principal arterial,180,12,1,47,47,"<LineString><coordinates>1.146695,2.981855,0.0 1.146695,2.485484,0.0</coordinates></LineString>"
50 Street,48,61,65,1,0.125,4,60,1900,1,Freeway,180,12,1,48,48,"<LineString><coordinates>1.149536,3.104014,0.0 1.274536,3.104014,0.0</coordinates></LineString>"
50 Street,49,65,61,1,0.125,4,60,1900,1,Freeway,180,12,1,49,49,"<LineString><coordinates>1.274536,3.109696,0.0 1.149536,3.109696,0.0</coordinates></LineString>"
50 Street/River Drive,50,60,63,1,0.08839,2,40,1000,9,Ramp,180,12,1,50,50,"<LineString><coordinates>1.151536,2.979855,0.0 1.214036,3.042355,0.0</coordinates></LineString>"
50 Street/River Drive,51,63,60,1,0.08839,2,40,1000,9,Ramp,180,12,1,51,51,"<LineString><coordinates>1.210036,3.046355,0.0 1.147536,2.983855,0.0</coordinates></LineString>"
50 Street/River Drive,52,62,64,1,0.08839,2,40,1000,9,Ramp,180,12,1,52,52,"<LineString><coordinates>1.147536,3.229855,0.0 1.210036,3.167355,0.0</coordinates></LineString>"
50 Street/River Drive,53,64,62,1,0.08839,2,40,1000,9,Ramp,180,12,1,53,53,"<LineString><coordinates>1.214036,3.171355,0.0 1.151536,3.232055,0.0</coordinates></LineString>"
50 Street/River Drive,54,61,63,1,0.08839,2,40,1000,9,Ramp,180,12,1,54,54,"<LineString><coordinates>1.149536,3.106855,0.0 1.212036,3.044355,0.0</coordinates></LineString>"
50 Street/River Drive,55,63,65,1,0.08839,2,40,1000,9,Ramp,180,12,1,55,55,"<LineString><coordinates>1.212036,3.044355,0.0 1.274536,3.106855,0.0</coordinates></LineString>"
50 Street/River Drive,56,64,61,1,0.08839,2,40,1000,9,Ramp,180,12,1,56,56,"<LineString><coordinates>1.212036,3.169355,0.0 1.149536,3.106855,0.0</coordinates></LineString>"
50 Street/River Drive,57,65,64,1,0.08839,2,40,1000,9,Ramp,180,12,1,57,57,"<LineString><coordinates>1.274536,3.106855,0.0 1.212036,3.169355,0.0</coordinates></LineString>"
Centroid Connector,58,58,59,1,0.05046,2,10,1000,10,Zonal connector,180,12,1,58,58,"<LineString><coordinates>1.149536,2.485484,0.0 1.200000,2.485484,0.0</coordinates></LineString>"
Centroid Connector,59,59,58,1,0.05046,2,10,1000,10,Zonal connector,180,12,1,59,59,"<LineString><coordinates>1.200000,2.485484,0.0 1.149536,2.485484,0.0</coordinates></LineString>"
NF/SF,60,12,66,1,0.13731,3,60,1000,9,Ramp,180,12,1,60,60,"<LineString><coordinates>1.310763,0.002000,0.0 1.213673,0.099089,0.0</coordinates></LineString>"
NF/SF,61,66,12,1,0.13731,3,60,1000,9,Ramp,180,12,1,61,61,"<LineString><coordinates>1.209673,0.095089,0.0 1.306763,-0.002000,0.0</coordinates></LineString>"
NF/SD,62,9,66,1,0.13731,2,60,1900,9,Ramp,180,12,1,62,62,"<LineString><coordinates>1.116584,-0.002000,0.0 1.213673,0.095089,0.0</coordinates></LineString>"
NF/SD,63,66,9,1,0.13731,2,60,1900,9,Ramp,180,12,1,63,63,"<LineString><coordinates>1.209673,0.099089,0.0 1.112584,0.002000,0.0</coordinates></LineString>"
North Freeway,64,66,67,1,0.42719,5,60,1900,1,Freeway,180,12,1,64,64,"<LineString><coordinates>1.214514,0.097089,0.0 1.214514,0.524281,0.0</coordinates></LineString>"
North Freeway,65,67,66,1,0.42719,5,60,1900,1,Freeway,180,12,1,65,65,"<LineString><coordinates>1.208832,0.524281,0.0 1.208832,0.097089,0.0</coordinates></LineString>"
North Freeway,66,67,68,1,0.19418,4,60,1900,1,Freeway,180,12,1,66,66,"<LineString><coordinates>1.214514,0.524281,0.0 1.214514,0.718460,0.0</coordinates></LineString>"
North Freeway,67,68,67,1,0.19418,4,60,1900,1,Freeway,180,12,1,67,67,"<LineString><coordinates>1.208832,0.718460,0.0 1.208832,0.524281,0.0</coordinates></LineString>"
North Freeway,68,68,69,1,0.42719,5,60,1900,1,Freeway,180,12,1,68,68,"<LineString><coordinates>1.214514,0.718460,0.0 1.214514,1.145653,0.0</coordinates></LineString>"
North Freeway,69,69,68,1,0.42719,5,60,1900,1,Freeway,180,12,1,69,69,"<LineString><coordinates>1.208832,1.145653,0.0 1.208832,0.718460,0.0</coordinates></LineString>"
North Freeway,70,69,70,1,0.19418,5,60,1900,1,Freeway,180,12,1,70,70,"<LineString><coordinates>1.214514,1.145653,0.0 1.214514,1.339832,0.0</coordinates></LineString>"
North Freeway,71,70,69,1,0.19418,5,60,1900,1,Freeway,180,12,1,71,71,"<LineString><coordinates>1.208832,1.339832,0.0 1.208832,1.145653,0.0</coordinates></LineString>"
North Freeway,72,70,71,1,0.42719,5,60,1900,1,Freeway,180,12,1,72,72,"<LineString><coordinates>1.214514,1.339832,0.0 1.214514,1.767024,0.0</coordinates></LineString>"
North Freeway,73,71,70,1,0.42719,5,60,1900,1,Freeway,180,12,1,73,73,"<LineString><coordinates>1.208832,1.767024,0.0 1.208832,1.339832,0.0</coordinates></LineString>"
North Freeway,74,71,72,1,0.19418,5,60,1900,1,Freeway,180,12,1,74,74,"<LineString><coordinates>1.214514,1.767024,0.0 1.214514,1.961203,0.0</coordinates></LineString>"
North Freeway,75,72,71,1,0.19418,5,60,1900,1,Freeway,180,12,1,75,75,"<LineString><coordinates>1.208832,1.961203,0.0 1.208832,1.767024,0.0</coordinates></LineString>"
NF/10S,76,67,29,1,0.10194,2,40,1000,9,Ramp,180,12,1,76,76,"<LineString><coordinates>1.211673,0.524281,0.0 1.242742,0.621371,0.0</coordinates></LineString>"
NF/10S,77,29,68,1,0.10194,2,40,1000,9,Ramp,180,12,1,77,77,"<LineString><coordinates>1.242742,0.621371,0.0 1.211673,0.718460,0.0</coordinates></LineString>"
NF/10S,78,68,28,1,0.10194,2,40,1000,9,Ramp,180,12,1,78,78,"<LineString><coordinates>1.211673,0.718460,0.0 1.180605,0.621371,0.0</coordinates></LineString>"
NF/10S,79,28,67,1,0.10194,2,40,1000,9,Ramp,180,12,1,79,79,"<LineString><coordinates>1.180605,0.621371,0.0 1.211673,0.524281,0.0</coordinates></LineString>"
NF/20S,80,69,44,1,0.10194,2,40,1000,9,Ramp,180,12,1,80,80,"<LineString><coordinates>1.211673,1.145653,0.0 1.242742,1.242742,0.0</coordinates></LineString>"
NF/20S,81,44,70,1,0.10194,2,40,1000,9,Ramp,180,12,1,81,81,"<LineString><coordinates>1.242742,1.242742,0.0 1.211673,1.339832,0.0</coordinates></LineString>"
NF/20S,82,70,43,1,0.10194,2,40,1000,9,Ramp,180,12,1,82,82,"<LineString><coordinates>1.211673,1.339832,0.0 1.180605,1.242742,0.0</coordinates></LineString>"
NF/20S,83,43,69,1,0.10194,2,40,1000,9,Ramp,180,12,1,83,83,"<LineString><coordinates>1.180605,1.242742,0.0 1.211673,1.145653,0.0</coordinates></LineString>"
NF/30S,84,71,55,1,0.10194,2,40,1000,9,Ramp,180,12,1,84,84,"<LineString><coordinates>1.211673,1.767024,0.0 1.242742,1.864113,0.0</coordinates></LineString>"
NF/30S,85,55,72,1,0.10194,3,40,1000,9,Ramp,180,12,1,85,85,"<LineString><coordinates>1.242742,1.864113,0.0 1.211673,1.961203,0.0</coordinates></LineString>"
NF/30S,86,72,54,1,0.10194,3,40,1000,9,Ramp,180,12,1,86,86,"<LineString><coordinates>1.211673,1.961203,0.0 1.180605,1.864113,0.0</coordinates></LineString>"
NF/30S,87,54,71,1,0.10194,2,40,1000,9,Ramp,180,12,1,87,87,"<LineString><coordinates>1.180605,1.864113,0.0 1.211673,1.767024,0.0</coordinates></LineString>"
North Freeway,88,72,75,1,1.1296,7,60,1900,1,Freeway,180,12,1,88,88,"<LineString><coordinates>1.214514,1.961203,0.0 1.634642,3.009766,0.0</coordinates></LineString>"
North Freeway,89,75,72,1,1.1296,7,60,1900,1,Freeway,180,12,1,89,89,"<LineString><coordinates>1.628960,3.009766,0.0 1.208832,1.961203,0.0</coordinates></LineString>"
North Freeway,90,75,76,1,0.19418,4,60,1900,1,Freeway,180,12,1,90,90,"<LineString><coordinates>1.634642,3.009766,0.0 1.634642,3.203944,0.0</coordinates></LineString>"
North Freeway,91,76,75,1,0.19418,4,60,1900,1,Freeway,180,12,1,91,91,"<LineString><coordinates>1.628960,3.203944,0.0 1.628960,3.009766,0.0</coordinates></LineString>"
North Freeway,92,76,77,1,0.09606,5,60,1900,1,Freeway,180,12,1,92,92,"<LineString><coordinates>1.634642,3.203944,0.0 1.634642,3.300000,0.0</coordinates></LineString>"
North Freeway,93,77,76,1,0.09606,5,60,1900,1,Freeway,180,12,1,93,93,"<LineString><coordinates>1.628960,3.300000,0.0 1.628960,3.203944,0.0</coordinates></LineString>"
50 Street,94,65,73,1,0.26018,4,60,1900,1,Freeway,180,12,1,94,94,"<LineString><coordinates>1.274536,3.104014,0.0 1.534712,3.104014,0.0</coordinates></LineString>"
50 Street,95,73,65,1,0.26018,4,60,1900,1,Freeway,180,12,1,95,95,"<LineString><coordinates>1.534712,3.109696,0.0 1.274536,3.109696,0.0</coordinates></LineString>"
50 Street,96,73,74,1,0.19418,3,60,1900,1,Freeway,180,12,1,96,96,"<LineString><coordinates>1.534712,3.104014,0.0 1.728890,3.104014,0.0</coordinates></LineString>"
50 Street,97,74,73,1,0.19418,3,60,1900,1,Freeway,180,12,1,97,97,"<LineString><coordinates>1.728890,3.109696,0.0 1.534712,3.109696,0.0</coordinates></LineString>"
Northeast Freeway,98,74,57,1,0.07111,5,60,1900,1,Freeway,180,12,1,98,98,"<LineString><coordinates>1.728890,3.104014,0.0 1.800000,3.104014,0.0</coordinates></LineString>"
Northeast Freeway,99,57,74,1,0.07111,5,60,1900,1,Freeway,180,12,1,99,99,"<LineString><coordinates>1.800000,3.109696,0.0 1.728890,3.109696,0.0</coordinates></LineString>"
NF/NEF,100,75,74,1,0.1373,3,60,1900,9,Ramp,180,12,1,100,100,"<LineString><coordinates>1.634642,3.009766,0.0 1.728890,3.104014,0.0</coordinates></LineString>"
NF/NEF,101,74,75,1,0.1373,3,60,1900,9,Ramp,180,12,1,101,101,"<LineString><coordinates>1.728890,3.109696,0.0 1.628960,3.009766,0.0</coordinates></LineString>"
NF/NEF,102,74,76,1,0.1373,1,60,1900,9,Ramp,180,12,1,102,102,"<LineString><coordinates>1.728890,3.109696,0.0 1.634642,3.203944,0.0</coordinates></LineString>"
NF/NEF,103,76,74,1,0.1373,1,60,1900,9,Ramp,180,12,1,103,103,"<LineString><coordinates>1.628960,3.203944,0.0 1.728890,3.104014,0.0</coordinates></LineString>"
NF/50S,104,76,73,1,0.1373,2,60,1900,9,Ramp,180,12,1,104,104,"<LineString><coordinates>1.628960,3.203944,0.0 1.534712,3.109696,0.0</coordinates></LineString>"
NF/50S,105,73,76,1,0.1373,2,60,1900,9,Ramp,180,12,1,105,105,"<LineString><coordinates>1.534712,3.104014,0.0 1.634642,3.203944,0.0</coordinates></LineString>"
NF/50S,106,73,75,1,0.1373,2,60,1900,9,Ramp,180,12,1,106,106,"<LineString><coordinates>1.534712,3.104014,0.0 1.628960,3.009766,0.0</coordinates></LineString>"
NF/50S,107,75,73,1,0.1373,2,60,1900,9,Ramp,180,12,1,107,107,"<LineString><coordinates>1.634642,3.009766,0.0 1.534712,3.109696,0.0</coordinates></LineString>"
River Drive,108,60,62,1,0.25,3,40,1000,3,Principal arterial,180,12,1,108,108,"<LineString><coordinates>1.152377,2.981855,0.0 1.152377,3.231855,0.0</coordinates></LineString>"
River Drive,109,62,60,1,0.25,3,40,1000,3,Principal arterial,180,12,1,109,109,"<LineString><coordinates>1.146695,3.231855,0.0 1.146695,2.981855,0.0</coordinates></LineString>"
River Drive,110,62,78,1,0.06814,3,40,1000,3,Principal arterial,180,12,1,110,110,"<LineString><coordinates>1.152377,3.231855,0.0 1.152377,3.300000,0.0</coordinates></LineString>"
River Drive,111,78,62,1,0.06814,3,40,1000,3,Principal arterial,180,12,1,111,111,"<LineString><coordinates>1.146695,3.300000,0.0 1.146695,3.231855,0.0</coordinates></LineString>"
NF/SR,112,68,79,1,0.1373,1,90,1900,9,Ramp,180,12,1,112,112,"<LineString><coordinates>1.214514,0.718460,0.0 1.114584,0.631371,0.0</coordinates></LineString>"
NF/SR,113,79,68,1,0.1373,1,90,1900,9,Ramp,180,12,1,113,113,"<LineString><coordinates>1.114584,0.611371,0.0 1.208832,0.718460,0.0</coordinates></LineString>"
NF/SR,114,67,79,1,0.1373,2,60,1900,9,Ramp,180,12,1,114,114,"<LineString><coordinates>1.214514,0.524281,0.0 1.114584,0.631371,0.0</coordinates></LineString>"
NF/SR,115,79,67,1,0.1373,2,60,1900,9,Ramp,180,12,1,115,115,"<LineString><coordinates>1.114584,0.611371,0.0 1.208832,0.524281,0.0</coordinates></LineString>"
Skyrider Approach,116,79,80,1,0.39612,3,60,1900,1,Freeway,180,12,1,116,116,"<LineString><coordinates>1.114584,0.631371,0.0 0.718460,0.631371,0.0</coordinates></LineString>"
Skyrider Approach,117,80,79,1,0.39612,3,60,1900,1,Freeway,180,12,1,117,117,"<LineString><coordinates>0.718460,0.611371,0.0 1.114584,0.611371,0.0</coordinates></LineString>"
Skyrider Approach,118,80,81,1,0.1794,3,60,1900,1,Freeway,180,12,1,118,118,"<LineString><coordinates>0.718460,0.631371,0.0 0.554719,0.692023,0.0</coordinates></LineString>"
Skyrider Approach,119,81,80,1,0.1794,3,60,1900,1,Freeway,180,12,1,119,119,"<LineString><coordinates>0.550719,0.688023,0.0 0.718460,0.611371,0.0</coordinates></LineString>"
Skyrider,120,26,81,1,0.09709,4,60,1900,1,Freeway,180,12,1,120,120,"<LineString><coordinates>0.623371,0.623371,0.0 0.554719,0.692023,0.0</coordinates></LineString>"
Skyrider,121,81,26,1,0.09709,4,60,1900,1,Freeway,180,12,1,121,121,"<LineString><coordinates>0.550719,0.688023,0.0 0.619371,0.619371,0.0</coordinates></LineString>"
SR/10S,122,30,79,1,0.19418,1,60,1900,9,Ramp,180,12,1,122,122,"<LineString><coordinates>1.308763,0.624212,0.0 1.114584,0.631371,0.0</coordinates></LineString>"
SR/10S,123,79,30,1,0.19418,1,60,1900,9,Ramp,180,12,1,123,123,"<LineString><coordinates>1.114584,0.611371,0.0 1.308763,0.618530,0.0</coordinates></LineString>"
Skyrider,124,81,82,1,2.2,5,60,1900,1,Freeway,180,12,1,124,124,"<LineString><coordinates>0.554719,0.692023,0.0 -1.000916,2.247658,0.0</coordinates></LineString>"
Skyrider,125,82,81,1,2.2,5,60,1900,1,Freeway,180,12,1,125,125,"<LineString><coordinates>-1.004916,2.243658,0.0 0.550719,0.688023,0.0</coordinates></LineString>"
50 Street,126,61,83,1,0.66018,4,60,1900,1,Freeway,180,12,1,126,126,"<LineString><coordinates>1.149536,3.109696,0.0 0.489352,3.109696,0.0</coordinates></LineString>"
50 Street,127,83,61,1,0.66018,4,60,1900,1,Freeway,180,12,1,127,127,"<LineString><coordinates>0.489352,3.104014,0.0 1.149536,3.104014,0.0</coordinates></LineString>"
50 Street,128,83,84,1,0.40572,4,60,1900,1,Freeway,180,12,1,128,128,"<LineString><coordinates>0.488205,3.109454,0.0 0.117018,2.945658,0.0</coordinates></LineString>"
50 Street,129,84,83,1,0.40572,4,60,1900,1,Freeway,180,12,1,129,129,"<LineString><coordinates>0.119312,2.940460,0.0 0.490499,3.104256,0.0</coordinates></LineString>"
Western Trail,130,84,85,1,0.13915,2,60,1900,1,Freeway,180,12,1,130,130,"<LineString><coordinates>0.116514,2.945371,0.0 0.003285,2.864493,0.0</coordinates></LineString>"
Western Trail,131,85,84,1,0.13915,2,60,1900,1,Freeway,180,12,1,131,131,"<LineString><coordinates>0.006587,2.859869,0.0 0.119816,2.940747,0.0</coordinates></LineString>"
50 Street Connector,132,86,102,1,0.62647,3,60,1900,1,Freeway,180,12,1,132,132,"<LineString><coordinates>-0.026097,2.999495,0.0 -0.581071,3.290139,0.0</coordinates></LineString>"
50 Street Connector,133,102,86,1,0.62647,3,60,1900,1,Freeway,180,12,1,133,133,"<LineString><coordinates>-0.583707,3.285105,0.0 -0.028733,2.994461,0.0</coordinates></LineString>"
Northwest Freeway,134,104,103,1,0.18116,5,60,1900,1,Freeway,180,12,1,134,134,"<LineString><coordinates>-0.789156,3.554997,0.0 -0.726792,3.384914,0.0</coordinates></LineString>"
Northwest Freeway,135,103,104,1,0.18116,5,60,1900,1,Freeway,180,12,1,135,135,"<LineString><coordinates>-0.721458,3.386870,0.0 -0.783822,3.556953,0.0</coordinates></LineString>"
Northwest Freeway,136,103,101,1,0.24226,4,60,1900,1,Freeway,180,12,1,136,136,"<LineString><coordinates>-0.726962,3.385737,0.0 -0.713734,3.143841,0.0</coordinates></LineString>"
Northwest Freeway,137,101,103,1,0.24226,4,60,1900,1,Freeway,180,12,1,137,137,"<LineString><coordinates>-0.708060,3.144151,0.0 -0.721288,3.386047,0.0</coordinates></LineString>"
Northwest Freeway,138,101,99,1,0.27829,4,60,1900,1,Freeway,180,12,1,138,138,"<LineString><coordinates>-0.713637,3.144748,0.0 -0.787339,2.876394,0.0</coordinates></LineString>"
Northwest Freeway,139,99,101,1,0.27829,4,60,1900,1,Freeway,180,12,1,139,139,"<LineString><coordinates>-0.781859,2.874890,0.0 -0.708157,3.143244,0.0</coordinates></LineString>"
Northwest Freeway,140,99,96,1,0.17834,4,60,1900,1,Freeway,180,12,1,140,140,"<LineString><coordinates>-0.787158,2.876876,0.0 -0.864641,2.716242,0.0</coordinates></LineString>"
Northwest Freeway,141,96,99,1,0.17834,4,60,1900,1,Freeway,180,12,1,141,141,"<LineString><coordinates>-0.859523,2.713774,0.0 -0.782040,2.874408,0.0</coordinates></LineString>"
Northwest Freeway,142,96,91,1,0.40787,4,60,1900,1,Freeway,180,12,1,142,142,"<LineString><coordinates>-0.864478,2.716535,0.0 -1.083696,2.372589,0.0</coordinates></LineString>"
Northwest Freeway,143,91,96,1,0.40787,4,60,1900,1,Freeway,180,12,1,143,143,"<LineString><coordinates>-1.078904,2.369535,0.0 -0.859686,2.713481,0.0</coordinates></LineString>"
Northwest Freeway,144,91,90,1,0.17502,2,60,1900,1,Freeway,180,12,1,144,144,"<LineString><coordinates>-1.083877,2.372258,0.0 -1.157580,2.213514,0.0</coordinates></LineString>"
Northwest Freeway,145,90,91,1,0.17502,2,60,1900,1,Freeway,180,12,1,145,145,"<LineString><coordinates>-1.152426,2.211122,0.0 -1.078723,2.369866,0.0</coordinates></LineString>"
